CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Sur;28048026;EEI-CN;LOS CASCABELES;Carretera De San Ramón, 2 ;Pelayos de la Presa;-;28696;918645532;-;Público;
Madrid-Este;28062667;EEI-CN;LOS DUENDES;Calle De La Iglesia, 11 ;Ribatejada;-;28815;918791966;-;Público;
Madrid-Este;28047113;EEI-CN;LOS ENANITOS;Callejon Del Prado, S/n ;Estremera;-;28595;918721058;-;Público;
Madrid-Norte;28075066;EEI-CN;LOS ENEBROS (PROGRAMA DE CASA DE NIÑOS);Calle De Mariano Prados, 8 ;Colmenar Viejo;-;28770;918454861;918486386;Público;
Madrid-Sur;28077312;EEI-CN;LOS GORRIONES;Calle De Creta, 2 ;Fuenlabrada;-;28943;-;-;Público;
Madrid-Este;28050653;EEI-CN;LOS HUERTOS;Calle José Cañaveras, 26 ;Orusco de Tajuña;-;28570;918724800;918724046;Público;
Madrid-Sur;28078742;EEI-CN;LOS PARAISOS (PROGRAMA CASA DE NIÑOS);Paseo Prado, S/n ;Valdemoro;-;28343;-;-;Público;
Madrid-Este;28048041;EEI-CN;LOS PICAPIEDRA;Avenida Del Doce De Octubre, 33 ;San Martín de la Vega;-;28330;918946668;918945200;Público;
Madrid-Sur;28047162;EEI-CN;LOS PINOS;Avenida De Los Pinos, 2 ;Leganés;-;28914;916939713;916939713;Público;
Madrid-Norte;28067719;EEI-CN;LOS SUEÑOS;Travesia De La Nevera, 1 ;Pedrezuela;-;28723;918446769;-;Público;
Madrid-Norte;28047174;EEI-CN;LOZOYA;Calle Luna, 2 ;Lozoya;-;28742;918693448;918693448;Público;
Madrid-Norte;28047186;EEI-CN;LOZOYUELA;Camino Viejo De Torrelaguna, 2 ;Lozoyuela-Navas-Sieteiglesias;-;28752;918694094;918694094;Público;
Madrid-Sur;28061717;EEI-CN;LUNA LUNERA;Calle De Roquetas De Mar, 4 ;Arroyomolinos;-;28939;916091384;916091384;Público;
Madrid-Norte;28048671;EEI-CN;MAESTRA MARIA ANGELES CABELLO;Avenida De Los Arrieros, 4 ;Cabanillas de la Sierra;-;28721;918439486;-;Público;
Madrid-Norte;28059516;EEI-CN;MANCOMUNIDAD LA JARA Nº 1;Camino De Casasola, S/n ;Berzosa del Lozoya;-;28194;918687090;918687090;Público;
Madrid-Este;28048749;EEI-CN;MARIONETAS;Calle Mondéjar, 29 ;Villalbilla;-;28810;918859502;-;Público;
Madrid-Este;28074712;EEI-CN;MARIONETAS (PROGRAMA DE CASA DE NIÑOS);Calle Salvador Allende, 6 ;Torrejón de Ardoz;-;28850;916753606;916753606;Público;
Madrid-Norte;28075170;EEI-CN;MIRAFLORES DE LA SIERRA (PROGRAMA DE CASA DE NIÑOS);Avenida De La Constitución, 1 ;Miraflores de la Sierra;-;28792;918443795;-;Público;
Madrid-Sur;28057258;EEI-CN;MOMO (PROGRAMA DE CASA DE NIÑOS);Calle Alcorcón ;Parla;-;28989;916053347;-;Público;
